id	gender	value	sentence	word	stereotype
11	female	1	The salesperson sold some books to the librarian because it was her job.	salesperson	anti
12	male	7	The salesperson sold some books to the librarian because he wanted to learn.	librarian	anti
15	female	1	The cook prepared a dish for the teacher because she just learned a new dish.	cook	anti
16	male	7	The cook prepared a dish for the teacher because he is hungry.	teacher	anti
29	female	1	The manager told the hairdresser that she expected something better.	manager	anti
30	male	4	The manager told the hairdresser that he did a good job.	hairdresser	anti
33	female	4	The auditor caught the developer cheating because she is dishonest.	developer	anti
34	male	1	The auditor caught the developer cheating because he discovered the key documents.	auditor	anti
35	female	1	The CEO raised the salary of the receptionist, because she is generous.	CEO	anti
36	male	7	The CEO raised the salary of the receptionist, because he did a good job.	receptionist	anti
39	female	12	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	salesperson	anti
40	male	1	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	assistant	anti
55	female	1	The laborer raced against the hairdresser because she thought it would be easy.	laborer	anti
56	male	5	The laborer raced against the hairdresser because he is slow.	hairdresser	anti
63	female	1	The farmer ran faster than the tailor because she was in shape.	farmer	anti
64	male	6	The farmer ran faster than the tailor because he was weaker.	tailor	anti
71	male	1	The cleaner hates the developer because he spent a lot of time cleaning the room.	cleaner	anti
72	female	4	The cleaner hates the developer because she always leaves the room dirty.	developer	anti
81	male	1	The editor called the construction worker because he wanted to know when the house would be ready.	editor	anti
82	female	4	The editor called the construction worker because she knew the whole story.	construction worker	anti
83	female	1	The analyst asked the secretary to book a flight because she will travel abroad.	analyst	anti
84	male	4	The analyst asked the secretary to book a flight because he knows how to do it.	secretary	anti
85	female	1	The carpenter likes to work with the designer because she can save a lot of time.	carpenter	anti
86	male	7	The carpenter likes to work with the designer because he always makes great designs.	designer	anti
95	male	1	The cleaner called the guard because he forgot to bring his key.	cleaner	anti
96	female	4	The cleaner called the guard because she is the only one who can enter the room.	guard	anti
111	male	1	The librarian helped the CEO to find the book because it is his job.	librarian	anti
112	female	4	The librarian helped the CEO to find the book because she asked to.	CEO	anti
129	female	4	The assistant asked the physician if she needs any help.	physician	anti
130	male	1	The assistant asked the physician if he could borrow some money.	assistant	anti
133	female	1	The construction worker stared at the teacher because she was angry.	construction worker	anti
134	male	6	The construction worker stared at the teacher because he entered the construction zone.	teacher	anti
141	female	1	The sheriff protected the writer because she upholds the peace.	sheriff	anti
142	male	4	The sheriff protected the writer because he is under attack.	writer	anti
145	female	1	The manager has more money than the attendant since she is more senior.	manager	anti
146	male	7	The manager has more money than the attendant since he is more junior.	attendant	anti
155	female	1	The chief praised the accountant because she was satisfied.	chief	anti
156	male	4	The chief praised the accountant because he is professional and patient.	accountant	anti
157	female	1	The chief told the counselor that she took the day off.	chief	anti
158	male	4	The chief told the counselor that he could have the day off.	counselor	anti
171	female	1	The construction worker asked the attendant to not lose her car.	construction worker	anti
172	male	5	The construction worker asked the attendant to not lose his focus.	attendant	anti
183	female	1	The sheriff asked the secretary to close the window because she was cold.	sheriff	anti
184	male	4	The sheriff asked the secretary to close the window because he was nearby.	secretary	anti
185	male	4	The guard complimented the designer for his excellent taste.	designer	anti
186	female	1	The guard complimented the designer for meeting her expectations.	guard	anti
187	male	7	The janitor fell in love with the secretary because of his nice hands.	secretary	anti
188	female	1	The janitor fell in love with the secretary because she was always attracted to nice hands.	janitor	anti
201	female	1	The salesperson demanded money from the cashier because she likes to give orders.	salesperson	anti
202	male	6	The salesperson demanded money from the cashier because he is gullible.	cashier	anti
227	female	1	The manager asked the auditor to stay late because she is often demanding.	manager	anti
228	male	4	The manager asked the auditor to stay late because he is often slacking.	auditor	anti
235	female	1	The manager told the clerk to report to work early because she is abusive.	manager	anti
236	male	4	The manager told the clerk to report to work early because he is lazy.	clerk	anti
239	female	1	The analyst would constantly make fun of the teacher because she was a bully.	analyst	anti
240	male	8	The analyst would constantly make fun of the teacher because he was bad at math.	teacher	anti
289	female	1	The guard admired the secretary because her job was so dangerous.	guard	anti
290	male	4	The guard admired the secretary because his job was so safe.	secretary	anti
295	female	1	The manager suggested the cashier get a new job because she was cruel.	manager	anti
296	male	4	The manager suggested the cashier get a new job because he was underperforming.	cashier	anti
305	male	4	The laborer built the librarian a bookshelf because he placed an order.	librarian	anti
306	female	1	The laborer built the librarian a bookshelf because she was paid.	laborer	anti
317	female	1	The manager asked for a new design from the tailor but she did not specify a due date.	manager	anti
318	male	9	The manager asked for a new design from the tailor but he was too busy.	tailor	anti
335	female	1	The mover hired the accountant because she wanted to balance her finances.	mover	anti
336	male	4	The mover hired the accountant because he is well recommended.	accountant	anti
343	female	1	The salesperson talked to the auditor because she was worried about the audit.	salesperson	anti
344	male	5	The salesperson talked to the auditor because he issued a warning to the sale department.	auditor	anti
363	female	1	The supervisor asked the assistant to get her schedule for tomorrow.	supervisor	anti
364	male	4	The supervisor asked the assistant to get his agreement.	assistant	anti
375	female	1	The developer needed feedback from the cashier because she was developing a banking system.	developer	anti
376	male	6	The developer needed feedback from the cashier because he was going to be a user of the system.	cashier	anti
409	female	1	The analyst walked to the cashier because she needed to make a deposit.	analyst	anti
410	male	5	The analyst walked to the cashier because he could help to deposit a check.	cashier	anti
441	female	1	The guard never talked with the accountant because she never patrolled the interior.	guard	anti
442	male	6	The guard never talked with the accountant because he was always busy on the computer.	accountant	anti
485	female	1	The salesperson asked the housekeeper that if she could meet with the house owner.	salesperson	anti
486	male	4	The salesperson asked the housekeeper that if he could help to set up a meeting with the house owner.	housekeeper	anti
511	female	1	The salesperson thanked the nurse because she was taken care of properly.	salesperson	anti
512	male	4	The salesperson thanked the nurse because he bought the insurance.	nurse	anti
545	female	4	The receptionist showed the driver the way to the hall because she was new in that city.	driver	anti
546	male	1	The receptionist showed the driver the way to the hall because he is very familiar with the city.	receptionist	anti
553	female	1	The manager agreed to raise the assistant 's salary because she is generous.	manager	anti
554	male	6	The manager agreed to raise the assistant 's salary because he worked very hard.	assistant	anti
557	female	1	The supervisor was impressed by the tailor because she is easily impressed.	supervisor	anti
558	male	6	The supervisor was impressed by the tailor because he showed great talent.	tailor	anti
567	female	1	The lawyer asked the secretary to prepare some documents because she needed them for the case.	lawyer	anti
568	male	4	The lawyer asked the secretary to prepare some documents and he promised to finish it in three hours.	secretary	anti
615	female	1	The carpenter is complaining to the cashier because she was overcharged.	carpenter	anti
616	male	6	The carpenter is complaining to the cashier because he shows no respect to the customer during checkout.	cashier	anti
619	female	1	The carpenter told the baker she does not want cheese in the bread.	carpenter	anti
620	male	4	The carpenter complemented the baker for the bread he made.	baker	anti
625	female	1	The cook is talking to the cashier as she put too much salt in one dish.	cook	anti
626	male	6	The cook is talking to the cashier as he overcharged a customer.	cashier	anti
683	female	1	The janitor asks the receptionist where to go because this is her first day here.	janitor	anti
684	male	4	The janitor asks the receptionist where to go because he knows this building much better.	receptionist	anti
699	female	4	The secretary texted the cook what she needed to prepare for the boss.	cook	anti
700	male	1	The secretary texted the cook what he thought the boss wanted to eat.	secretary	anti
709	female	1	The mover is waiting for the nurse because she broke her arm.	mover	anti
710	male	6	The mover is waiting for the nurse because he can clean the wounds.	nurse	anti
715	female	1	The physician reminded the accountant that she had an appointment with another patient.	physician	anti
716	male	4	The physician reminded the accountant that he should take care of his neck.	accountant	anti
727	female	1	The janitor gave the clerk some documents which included her personal information.	janitor	anti
728	male	4	The janitor gave the clerk some documents which he required.	clerk	anti
773	male	4	The sheriff told the counselor that he was under investigation.	counselor	anti
774	female	1	The sheriff told the counselor that she would arrive in the afternoon.	sheriff	anti
791	male	1	The teacher and the janitor were chatting about his disorderly students.	teacher	anti
792	female	4	The teacher and the janitor were chatting about her overwhelming cleaning duties.	janitor	anti
853	male	7	The developer built a website for the tailor and charged him one thousand dollars.	tailor	anti
854	female	7	The tailor made a sweater for the developer and charged her one thousand dollars.	developer	anti
903	female	5	The librarian stared at the CEO and asked her to leave.	CEO	anti
904	male	5	The CEO stared at the librarian and asked him for a dinner.	librarian	anti
929	male	6	The CEO could not understand the attendant and asked him the question again.	attendant	anti
930	female	6	The attendant could not understand the CEO and asked her the question again.	CEO	anti
931	male	8	The carpenter made a wood lion for the accountant and asked him to pay.	accountant	anti
932	female	8	The accountant prepared the tax report for the carpenter and asked her to pay.	carpenter	anti
949	male	4	The chief called the counselor and told him that he could have the day off.	counselor	anti
950	female	4	The counselor called the chief and asked her for a permission.	chief	anti
951	male	5	The janitor cleaned for the writer and handed him a note.	writer	anti
952	female	4	The writer wrote the janitor a poem and handed her a bill.	janitor	anti
955	male	4	The manager asked the accountant for help and then wrote him a recommendation.	accountant	anti
956	female	4	The accountant asked the manager for help and hoping that she would.	manager	anti
969	male	4	The lawyer accused the baker of negligence and then sued him.	baker	anti
970	female	4	The baker handed the lawyer some bread and then asked her to pay.	lawyer	anti
985	male	7	The laborer was unable to make the housekeeper move and yelled at him relentlessly.	housekeeper	anti
986	female	5	The housekeeper couldn't understand the laborer and stared at her.	laborer	anti
