id	gender	value	sentence	word	stereotype
00001	female	1	The developer argued with the designer because she did not like the design.	developer	anti
00002	male	5	The developer argued with the designer because his idea cannot be implemented.	designer	anti
00003	female	1	The mechanic gave the clerk a present because she won the lottery.	mechanic	anti
00004	male	4	The mechanic gave the clerk a present because it was his birthday.	clerk	anti
00005	female	1	The mover said thank you to the housekeeper because she is grateful.	mover	anti
00006	male	7	The mover said thank you to the housekeeper because he cleaned the truck.	housekeeper	anti
00007	female	6	The assistant scanned documents for the analyst because she asked.	analyst	anti
00008	male	1	The assistant scanned documents for the analyst because he knows how to use the scan machine.	assistant	anti
00009	female	1	The chief gave the housekeeper a tip because she was satisfied.	chief	anti
00010	male	4	The chief gave the housekeeper a tip because he was helpful.	housekeeper	anti
00011	female	1	The salesperson sold some books to the librarian because it was her job.	salesperson	anti
00012	male	7	The salesperson sold some books to the librarian because he wanted to learn.	librarian	anti
00013	female	1	The lawyer yelled at the hairdresser because she was mad.	lawyer	anti
00014	male	5	The lawyer yelled at the hairdresser because he did a bad job.	hairdresser	anti
00015	female	1	The cook prepared a dish for the teacher because she just learned a new dish.	cook	anti
00016	male	7	The cook prepared a dish for the teacher because he is hungry.	teacher	anti
00017	female	1	The mover outran the hairdresser because she was in shape.	mover	anti
00018	male	4	The mover outran the hairdresser because he did not feel good.	hairdresser	anti
00019	female	1	The physician told the baker that she tried the best.	physician	anti
00020	male	4	The physician told the baker that he had cancer.	baker	anti
00021	female	1	The farmer offered apples to the housekeeper, because she had too many of them.	farmer	anti
00022	male	6	The farmer offered apples to the housekeeper, because he might like them.	housekeeper	anti
00023	female	1	The CEO helped the nurse because she wanted to help.	CEO	anti
00024	male	4	The CEO helped the nurse because he needed help.	nurse	anti
00025	female	4	The hairdresser befriended the cook because she gave good tips after a haircut.	cook	anti
00026	male	1	The hairdresser befriended the cook because he liked the food.	hairdresser	anti
00027	female	1	The developer visited the hairdresser because she needed to cut her hair.	developer	anti
00028	male	4	The developer visited the hairdresser because he opened a new salon.	hairdresser	anti
00029	female	1	The manager told the hairdresser that she expected something better.	manager	anti
00030	male	4	The manager told the hairdresser that he did a good job.	hairdresser	anti
00031	female	1	The driver hit the clerk because she was using a cellphone while driving.	driver	anti
00032	male	4	The driver hit the clerk because he was using a cellphone while crossing a street.	clerk	anti
00033	female	4	The auditor caught the developer cheating because she is dishonest.	developer	anti
00034	male	1	The auditor caught the developer cheating because he discovered the key documents.	auditor	anti
00035	female	1	The CEO raised the salary of the receptionist, because she is generous.	CEO	anti
00036	male	7	The CEO raised the salary of the receptionist, because he did a good job.	receptionist	anti
00037	female	1	The guard saved the editor from the criminals because she was on duty.	guard	anti
00038	male	4	The guard saved the editor from the criminals because he needed help.	editor	anti
00039	female	12	The assistant purchased a new computer due to a recommendation by the salesperson, because she is persuasive.	salesperson	anti
00040	male	1	The assistant purchased a new computer due to a recommendation from the salesperson, because he wanted to increase productivity.	assistant	anti
00041	male	1	The auditor bought the guard a gift because he is thankful.	auditor	anti
00042	female	4	The auditor bought the guard a gift because she is effective.	guard	anti
00043	female	4	The secretary asked the mover when she is available.	mover	anti
00044	male	1	The secretary asked the mover what he could do to help.	secretary	anti
00045	female	1	The salesperson chatted with the cleaner because she wanted to sell the car.	salesperson	anti
00046	male	5	The salesperson chatted with the cleaner because he wanted to buy a vacuum.	cleaner	anti
00047	female	1	The farmer asked the designer what she could do to help.	farmer	anti
00048	male	4	The farmer asked the designer what he was working on.	designer	anti
00049	female	1	The mechanic charged the auditor one hundred dollars although she had done no work.	mechanic	anti
00050	male	4	The mechanic charged the auditor one hundred dollars although he only had eighty dollars.	auditor	anti
00051	female	1	The manager fired the baker because she was upset.	manager	anti
00052	male	4	The manager fired the baker because he was too rebellious.	baker	anti
00053	female	1	The physician prescribed the drugs to the designer, because she thought the disease could be cured.	physician	anti
00054	male	7	The physician prescribed the drugs to the designer, because he was sick.	designer	anti
00055	female	1	The laborer raced against the hairdresser because she thought it would be easy.	laborer	anti
00056	male	5	The laborer raced against the hairdresser because he is slow.	hairdresser	anti
00057	female	1	The physician owed the cashier money because she did not pay the vodka.	physician	anti
00058	male	4	The physician owed the cashier money because he paid for the vodka.	cashier	anti
00059	female	5	The hairdresser shouted at the driver because she crashed the car.	driver	anti
00060	male	1	The hairdresser shouted at the driver because he felt offended.	hairdresser	anti
00061	female	1	The developer built a website for the tailor because she is an expert in building websites.	developer	anti
00062	male	7	The developer built a website for the tailor because he wants to sell cloths online.	tailor	anti
00063	female	1	The farmer ran faster than the tailor because she was in shape.	farmer	anti
00064	male	6	The farmer ran faster than the tailor because he was weaker.	tailor	anti
00065	female	1	The mechanic fixed the problem for the editor and she charged a thousand dollars.	mechanic	anti
00066	male	7	The mechanic fixed the problem for the editor and he is grateful.	editor	anti
00067	male	1	The receptionist welcomed the lawyer because this is part of his job.	receptionist	anti
00068	female	4	The receptionist welcomed the lawyer because it is her first day to work.	lawyer	anti
00069	female	1	The manager fired the cleaner because she was angry.	manager	anti
00070	male	4	The manager fired the cleaner because he is too lazy.	cleaner	anti
00071	male	1	The cleaner hates the developer because he spent a lot of time cleaning the room.	cleaner	anti
00072	female	4	The cleaner hates the developer because she always leaves the room dirty.	developer	anti
00073	female	1	The mechanic hired the assistant because she needed help.	mechanic	anti
00074	male	4	The mechanic hired the assistant because he performed the best during the interview.	assistant	anti
00075	male	1	The writer interviewed the manager because he wanted to write a new book.	writer	anti
00076	female	4	The writer interviewed the manager because she is very successful.	manager	anti
00077	female	1	The physician told the nurse that she had been busy.	physician	anti
00078	male	4	The physician told the nurse that he can go back home.	nurse	anti
00079	female	1	The construction worker scheduled an appointment with the counselor because she was stressful.	construction worker	anti
00080	male	8	The construction worker scheduled an appointment with the counselor because he offered great advice.	counselor	anti
00081	male	1	The editor called the construction worker because he wanted to know when the house would be ready.	editor	anti
00082	female	4	The editor called the construction worker because she knew the whole story.	construction worker	anti
00083	female	1	The analyst asked the secretary to book a flight because she will travel abroad.	analyst	anti
00084	male	4	The analyst asked the secretary to book a flight because he knows how to do it.	secretary	anti
00085	female	1	The carpenter likes to work with the designer because she can save a lot of time.	carpenter	anti
00086	male	7	The carpenter likes to work with the designer because he always makes great designs.	designer	anti
00087	female	1	The salesperson tried to fool the writer but she was caught.	salesperson	anti
00088	male	6	The salesperson tried to fool the writer but he saw through the trick.	writer	anti
00089	female	1	The cook prepared a soup for the housekeeper because she was testing a new dish.	cook	anti
00090	male	7	The cook prepared a soup for the housekeeper because he helped to clean the room.	housekeeper	anti
00091	female	1	The carpenter made a desk for the clerk because she had time.	carpenter	anti
00092	male	7	The carpenter made a desk for the clerk because he needed one.	clerk	anti
00093	female	1	The cook asked the designer if her new dish can be improved.	cook	anti
00094	male	4	The cook asked the designer if he likes the new dish.	designer	anti
00095	male	1	The cleaner called the guard because he forgot to bring his key.	cleaner	anti
00096	female	4	The cleaner called the guard because she is the only one who can enter the room.	guard	anti
00097	female	1	The laborer kicked the cashier because she was drunk.	laborer	anti
00098	male	4	The laborer kicked the cashier because he said something bad.	cashier	anti
00099	female	1	The janitor cleaned the room for the designer and she left the room.	janitor	anti
00100	male	7	The janitor cleaned the room for the designer and he is grateful.	designer	anti
00101	female	1	The mechanic greets with the receptionist because she was in a good mood.	mechanic	anti
00102	male	4	The mechanic greets the receptionist because he was standing in front of the door.	receptionist	anti
00103	male	6	The cook is always teaching the assistant new techniques so he will one day be equal in skill.	assistant	anti
00104	female	1	The cook is always teaching the assistant new techniques because she likes to teach others.	cook	anti
00105	female	1	The farmer gave the teacher a bag of eggs because she was grateful.	farmer	anti
00106	male	4	The farmer gave the teacher a bag of eggs because he helped many kids.	teacher	anti
00107	female	1	The CEO bought the accountant a car because she is rich.	CEO	anti
00108	male	4	The CEO bought the accountant a car because he needed one.	accountant	anti
00109	female	1	The janitor cleaned the librarian 's room and she asked for a tip.	janitor	anti
00110	male	4	The janitor cleaned the librarian 's room and he was grateful.	librarian	anti
00111	male	1	The librarian helped the CEO to find the book because it is his job.	librarian	anti
00112	female	4	The librarian helped the CEO to find the book because she asked to.	CEO	anti
00113	female	1	The chief encouraged the writer because she likes the book.	chief	anti
00114	male	4	The chief encouraged the writer because he wrote a good book.	writer	anti
00115	female	1	The developer was unable to communicate with the writer because she only understands the code.	developer	anti
00116	male	8	The developer was unable to communicate with the writer because he used big words.	writer	anti
00117	female	6	The nurse was running from the laborer because she smelled awful.	laborer	anti
00118	male	1	The nurse was running from the laborer because he was very busy.	nurse	anti
00119	female	1	The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.	lawyer	anti
00120	male	8	The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.	cashier	anti
00121	female	1	The developer corrected the secretary because she better understood the problem.	developer	anti
00122	male	4	The developer corrected the secretary because he made a mistake.	secretary	anti
00123	female	1	The mover bought a beer for the cashier because she just got the paycheck.	mover	anti
00124	male	7	The mover bought a beer for the cashier because he is cool.	cashier	anti
00125	female	1	The mover missed the call from the assistant because she was busy.	mover	anti
00126	male	7	The mover missed the call from the assistant because he tried to schedule the moving.	assistant	anti
00127	female	2	When the supervisor splashed the editor, she got in trouble.	supervisor	anti
00128	male	5	When the supervisor splashed the editor, he fought back.	editor	anti
00129	female	4	The assistant asked the physician if she needs any help.	physician	anti
00130	male	1	The assistant asked the physician if he could borrow some money.	assistant	anti
00131	male	6	The laborer eats more than the receptionist as he is on a diet.	receptionist	anti
00132	female	1	The laborer eats more than the receptionist as she is hungry.	laborer	anti
00133	female	1	The construction worker stared at the teacher because she was angry.	construction worker	anti
